filename,size,uri,download_url
laa0001v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0001v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0001v.164::0
laa0001v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0001v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0001v.164.jpeg::0
laa0005v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0005v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0005v.164::0
laa0005v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0005v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0005v.164.jpeg::0
laa0007v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0007v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0007v.164::0
laa0007v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0007v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0007v.164.jpeg::0
laa0008v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0008v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0008v.164::0
laa0008v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0008v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0008v.164.jpeg::0
laa0009v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0009v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0009v.164::0
laa0009v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0009v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0009v.164.jpeg::0
laa0010v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0010v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0010v.164::0
laa0010v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0010v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0010v.164.jpeg::0
laa0011v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0011v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0011v.164::0
laa0011v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0011v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0011v.164.jpeg::0
laa0012v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0012v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0012v.164::0
laa0012v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0012v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0012v.164.jpeg::0
laa0013v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0013v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0013v.164::0
laa0013v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0013v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0013v.164.jpeg::0
laa0014v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0014v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0014v.164::0
laa0014v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0014v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0014v.164.jpeg::0
laa0015v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0015v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0015v.164::0
laa0015v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0015v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0015v.164.jpeg::0
laa0016v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0016v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0016v.164::0
laa0016v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0016v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0016v.164.jpeg::0
laa0017v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0017v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0017v.164::0
laa0017v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0017v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0017v.164.jpeg::0
laa0018v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0018v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0018v.164::0
laa0018v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0018v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0018v.164.jpeg::0
laa0019v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0019v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0019v.164::0
laa0019v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0019v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0019v.164.jpeg::0
laa0020v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0020v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0020v.164::0
